SJF,Num Librarians,Total Customers Served,Max Wait Time,Mean Wait Time,Max Idle Time,Min Idle Time,Mean Idle Time,Max Queue Length,Mean Queue Length,Customers Left,Customers Arrived
False,4,123,6.73,3.4,11.35,0.12,3.96,1,0.02,0,123
True,4,121,6.73,3.48,15.04,0.85,5.38,2,0.09,1,122
True,5,109,6.73,3.36,23.43,0.32,5.33,0,0.0,0,109
True,1,80,6.95,5.02,20.71,0.39,3.94,10,2.85,39,120
True,3,115,6.73,3.48,10.37,0.01,3.3,2,0.07,2,117
False,2,101,6.88,4.45,19.07,0.5,5.1,9,1.0,20,121
True,3,108,6.73,3.51,17.07,0.04,4.07,4,0.16,3,111
True,3,110,6.97,3.66,9.73,0.22,3.56,3,0.2,1,111
True,1,67,6.84,4.92,14.67,0.11,3.82,14,2.34,36,103
True,3,113,6.73,3.55,11.73,0.39,3.39,1,0.05,0,113
False,5,114,6.73,3.35,24.04,0.1,4.96,0,0.0,0,114
False,3,145,6.89,3.72,18.02,0.22,3.92,4,0.26,2,147
False,1,72,6.78,5.07,17.91,0.29,5.24,5,1.31,27,102
False,2,104,6.89,3.88,13.76,0.08,3.02,3,0.37,6,110
False,3,129,6.73,3.82,19.99,0.03,3.42,4,0.28,2,131
False,4,125,6.73,3.4,9.28,0.25,3.0,1,0.02,0,125
False,5,117,6.73,3.35,12.35,0.15,3.87,0,0.0,0,117
True,1,76,6.96,4.94,16.57,0.47,3.64,11,2.14,38,114
False,5,128,6.73,3.35,9.23,0.24,3.94,1,0.02,0,128
False,4,117,6.73,3.49,30.12,0.09,5.0,3,0.07,0,117
False,4,143,6.73,3.42,13.3,0.22,3.76,2,0.03,0,143
False,3,115,6.73,3.63,15.0,0.86,4.76,3,0.11,2,117
True,5,125,6.73,3.36,17.56,0.75,5.39,0,0.0,0,125
True,2,99,6.73,3.82,17.08,0.03,4.78,3,0.25,2,103
False,5,123,6.73,3.32,11.67,0.04,3.11,0,0.0,0,123
True,1,85,6.73,5.02,20.15,0.01,3.14,13,2.7,38,127
False,1,69,6.95,5.17,9.07,0.17,4.12,12,2.71,43,112
False,4,118,6.73,3.38,19.0,0.02,4.72,1,0.02,0,118
False,4,112,6.73,3.55,13.66,0.03,3.08,4,0.12,1,113
True,4,114,6.73,3.39,38.47,0.12,4.57,2,0.04,0,114
False,1,70,6.8,5.14,18.4,0.14,4.45,17,3.59,41,113
False,1,80,6.97,5.24,20.73,0.97,4.52,16,3.59,40,122
False,1,64,7.0,5.24,32.55,0.15,5.71,12,2.49,30,98
