Total Customers Served,Max Wait Time,Mean Wait Time,Max Idle Time,Min Idle Time,Mean Idle Time,Max Queue Length,Mean Queue Length,Customers Left
69,4.45,0.29,17.05,0.57,5.59,4,0.46,7
75,4.72,0.59,20.42,0.32,4.56,1,0.09,3
69,4.71,0.47,19.53,0.41,6.98,2,0.14,4
81,4.36,0.7,27.29,0.16,7.3,4,0.37,5
74,4.75,0.25,26.26,0.24,6.56,1,0.03,4
77,3.87,0.23,18.32,0.32,4.98,3,0.1,4
64,4.6,0.51,33.94,0.21,8.81,2,0.08,2
70,4.94,0.47,27.37,0.46,7.46,1,0.03,0
62,4.43,0.32,28.26,0.36,8.84,3,0.18,4
60,2.28,0.09,37.44,0.26,9.03,1,0.02,2
74,3.56,0.35,14.05,0.16,5.22,4,0.18,6
67,2.38,0.2,28.88,0.06,7.9,1,0.03,3
73,4.17,0.4,25.02,0.18,6.0,3,0.11,4
73,4.69,0.33,33.78,0.75,7.68,1,0.05,3
68,2.66,0.19,16.84,0.22,6.64,2,0.07,1
75,4.99,0.5,18.36,0.78,6.32,2,0.16,5
54,2.62,0.18,21.92,0.24,7.85,1,0.02,0
71,4.95,0.41,43.83,0.15,8.0,1,0.06,0
57,3.66,0.32,29.76,0.17,6.71,2,0.09,1
72,4.11,0.51,35.14,0.35,8.1,3,0.17,5
65,4.22,0.21,26.6,0.66,7.1,3,0.11,4
65,4.3,0.24,19.73,0.13,5.41,5,0.25,6
59,4.01,0.45,43.59,0.95,11.08,1,0.07,1
71,4.75,0.66,23.67,0.22,7.37,3,0.3,7
57,3.69,0.12,26.46,0.27,7.12,1,0.04,1
68,2.36,0.13,18.55,0.25,5.5,1,0.01,2
75,4.81,0.73,31.98,0.4,8.6,3,0.35,7
62,4.94,0.22,22.11,0.68,6.66,2,0.05,2
56,4.82,0.11,23.52,0.11,7.78,4,0.21,5
50,1.02,0.03,48.56,0.11,9.18,0,0.0,0
73,3.88,0.44,15.15,0.83,5.69,2,0.08,3
57,4.4,0.33,39.3,0.44,9.38,3,0.28,4
71,4.84,0.49,19.48,0.14,5.83,1,0.03,2
59,4.02,0.27,21.86,0.03,7.92,2,0.1,3
73,4.48,0.37,21.27,0.04,7.11,2,0.14,3
59,2.05,0.1,26.22,0.36,6.2,1,0.02,0
71,3.28,0.28,23.69,0.15,6.86,1,0.08,5
