Total Customers Served,Max Wait Time,Mean Wait Time,Max Idle Time,Min Idle Time,Mean Idle Time,Max Queue Length,Mean Queue Length,Customers Left
67,4.38,0.24,32.15,0.55,8.93,2,0.09,1
69,0.99,0.03,32.7,0.24,7.37,0,0.0,0
91,2.9,0.1,17.48,0.04,5.14,0,0.0,0
84,3.41,0.14,13.78,0.3,5.75,1,0.04,1
71,1.11,0.06,36.04,1.6,9.23,0,0.0,1
72,4.49,0.22,25.48,0.17,6.84,1,0.03,0
79,3.15,0.04,25.61,0.6,5.96,0,0.0,0
67,1.5,0.05,25.18,0.2,7.69,0,0.0,0
68,4.74,0.13,24.99,0.35,7.9,0,0.0,0
71,3.59,0.08,16.77,0.06,6.3,1,0.01,0
69,1.4,0.04,24.85,0.05,6.57,0,0.0,0
79,4.95,0.27,19.14,0.07,5.37,3,0.15,2
63,0.0,0.0,28.14,0.05,6.61,0,0.0,0
67,2.32,0.06,24.09,0.01,6.2,1,0.01,0
54,1.58,0.03,31.2,0.17,8.28,0,0.0,0
76,3.13,0.07,23.55,1.09,4.87,1,0.03,2
69,3.63,0.2,24.62,1.3,8.15,1,0.03,0
78,4.95,0.1,18.49,0.35,6.73,1,0.01,0
52,0.0,0.0,53.58,0.04,10.4,0,0.0,1
74,1.0,0.01,12.5,0.1,5.74,0,0.0,0
70,3.2,0.06,28.52,0.16,6.19,0,0.0,0
67,1.94,0.07,34.45,0.44,8.57,1,0.01,0
67,0.51,0.01,37.13,0.23,7.23,0,0.0,0
76,2.6,0.07,33.57,0.03,5.8,1,0.01,1
76,1.54,0.03,18.89,0.3,6.47,1,0.01,1
56,0.0,0.0,30.29,0.16,10.07,0,0.0,0
57,0.94,0.02,31.16,0.53,8.67,0,0.0,0
69,3.28,0.05,29.47,0.12,5.67,0,0.0,0
70,2.32,0.04,19.14,0.09,7.61,0,0.0,0
76,2.05,0.04,18.03,0.02,5.66,0,0.0,0
78,0.0,0.0,20.58,0.32,5.39,0,0.0,0
75,4.51,0.09,32.99,0.07,7.1,1,0.01,0
72,2.9,0.09,23.72,0.37,6.68,0,0.0,0
73,2.5,0.08,29.8,0.14,7.3,1,0.01,0
71,3.83,0.24,27.98,0.56,7.93,2,0.13,0
73,3.94,0.14,34.53,0.05,6.46,1,0.01,0
89,3.37,0.14,21.2,0.26,6.07,2,0.06,2
63,0.0,0.0,33.26,0.21,7.63,0,0.0,0
65,0.0,0.0,21.52,0.16,7.03,0,0.0,0
77,1.98,0.03,37.99,0.16,5.84,0,0.0,0
67,1.71,0.03,40.57,0.15,8.49,3,0.09,3
71,2.49,0.08,15.46,0.04,5.33,1,0.01,1
71,3.33,0.21,34.09,0.16,7.05,1,0.04,1
68,1.49,0.04,30.65,0.02,6.11,0,0.0,0
73,4.75,0.11,18.74,0.08,5.93,1,0.01,0
72,3.72,0.07,31.22,0.67,7.1,1,0.03,2
60,0.56,0.01,29.95,0.21,6.94,0,0.0,0
68,2.24,0.04,20.66,0.07,6.55,0,0.0,0
70,2.1,0.07,21.54,0.09,6.09,0,0.0,0
77,2.79,0.14,20.38,0.09,6.29,1,0.01,0
62,1.28,0.02,32.07,0.05,8.75,0,0.0,0
74,3.22,0.13,27.41,0.35,6.09,0,0.0,0
66,3.46,0.13,33.71,0.14,8.66,0,0.0,0
67,2.08,0.05,37.34,0.2,7.61,1,0.01,0
69,0.85,0.01,23.06,0.14,5.47,0,0.0,0
64,3.72,0.15,23.86,0.09,7.71,2,0.06,1
65,3.34,0.12,36.5,0.07,8.92,2,0.05,0
65,1.69,0.03,21.5,0.34,6.25,0,0.0,0
64,4.36,0.12,40.17,0.06,7.15,1,0.02,0
71,3.46,0.14,22.56,0.49,6.56,1,0.03,0
74,4.68,0.11,24.7,0.16,6.33,0,0.0,0
66,0.0,0.0,23.82,0.03,6.33,0,0.0,1
57,3.37,0.12,40.56,0.1,8.06,0,0.0,1
80,1.83,0.1,32.91,0.04,6.25,1,0.01,0
64,2.33,0.06,27.12,0.1,7.03,0,0.0,0
73,1.92,0.1,29.44,0.06,6.43,0,0.0,0
75,4.57,0.1,29.71,0.82,7.23,0,0.0,1
82,4.21,0.13,22.45,0.28,5.82,2,0.05,1
57,0.13,0.0,30.66,0.01,8.66,0,0.0,0
65,2.62,0.07,48.64,0.04,7.0,2,0.05,1
67,4.84,0.23,29.7,0.11,7.12,2,0.09,2
68,4.26,0.11,18.66,0.2,5.86,1,0.01,1
68,3.97,0.11,28.12,0.09,6.0,1,0.01,0
76,4.92,0.15,29.16,0.39,6.74,2,0.04,1
69,3.72,0.13,23.18,0.16,8.15,1,0.03,2
77,4.24,0.09,23.59,0.6,6.05,0,0.0,0
80,0.06,0.0,22.97,0.21,5.66,0,0.0,1
65,3.37,0.07,41.59,0.52,7.24,2,0.05,3
59,2.28,0.07,27.27,0.06,7.86,1,0.02,1
72,0.16,0.0,20.18,0.01,6.68,0,0.0,0
81,0.37,0.0,30.72,0.63,8.28,0,0.0,0
87,2.84,0.18,18.09,0.09,5.3,1,0.03,1
72,4.53,0.29,36.57,0.08,7.72,1,0.03,0
67,4.81,0.15,27.62,0.55,7.75,0,0.0,0
78,4.05,0.11,21.1,0.25,5.23,1,0.01,0
64,1.57,0.03,24.85,0.2,7.6,0,0.0,0
71,2.25,0.06,27.92,0.0,6.78,0,0.0,0
65,3.77,0.16,31.56,0.05,8.88,1,0.02,0
79,4.44,0.16,36.39,0.22,7.98,3,0.14,2
65,1.29,0.02,33.81,0.02,7.4,1,0.02,2
74,2.58,0.08,33.91,0.1,6.97,2,0.04,2
79,4.84,0.25,25.51,0.26,5.72,2,0.09,1
78,2.53,0.12,32.21,0.77,7.32,1,0.01,0
67,0.62,0.01,28.85,0.1,6.24,0,0.0,0
91,1.79,0.04,21.46,0.44,5.07,2,0.05,2
66,1.69,0.03,26.71,0.22,8.18,0,0.0,0
68,4.48,0.12,46.93,0.19,6.05,0,0.0,0
72,0.0,0.0,20.48,0.09,6.01,1,0.01,2
84,4.81,0.2,24.49,0.19,4.85,0,0.0,0
84,3.82,0.21,24.87,0.12,4.71,1,0.02,0
69,0.44,0.01,34.2,0.4,6.84,0,0.0,0
